State ,NPV (After-Tax),IRR,TCO,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Year 20,Year 21,Year 22,Year 23,Year 24,Year 25
Alabama,"($2,679,635.86)",Negative,"$27,420,839.51 ","$78,079.64 ","$77,835.45 ","$65,756.36 ","$53,441.72 ","$40,888.71 ","$28,094.48 ","$8,380.74 ","($11,663.60)","($32,040.43)","($52,751.60)","($73,798.85)","($102,021.99)","($130,638.15)","($159,645.06)","($189,040.06)","($218,820.16)","($248,982.00)","($279,521.80)","($310,435.40)","($341,718.22)","($380,304.01)","($419,234.92)","($458,495.21)","($498,068.08)"," $(537,935.61)"
Alaska,"$3,436,923.59 ",43%,"$32,799,177.64 ","$1,077,548.98 ","$1,085,492.38 ","$1,068,419.64 ","$1,050,933.52 ","$1,033,028.88 ","$1,014,700.58 ","$981,350.94 ","$947,370.09 ","$912,754.22 ","$877,499.63 ","$841,602.82 ","$790,064.98 ","$737,737.05 ","$684,622.88 ","$630,726.99 ","$576,054.59 ","$520,611.63 ","$464,404.84 ","$407,441.70 ","$349,730.54 ","$275,919.17 ","$201,365.28 ","$126,098.46 ","$50,150.40 "," $(26,445.06)"
Arizona,"($6,339,855.08)",Negative,"$29,279,664.09 ","($487,527.24)","($493,083.26)","($504,910.38)","($516,929.23)","($529,142.26)","($541,551.90)","($557,422.98)","($573,528.58)","($589,870.35)","($606,449.84)","($623,268.62)","($643,643.86)","($664,274.32)","($685,158.76)","($706,295.76)","($727,683.65)","($749,320.55)","($771,204.36)","($793,332.70)","($815,702.97)","($841,596.41)","($867,695.04)","($893,989.10)","($920,468.15)"," $(947,121.10)"
Arkansas,"($6,667,364.77)",Negative,"$27,235,977.34 ","($582,377.04)","($588,536.48)","($599,118.48)","($609,858.38)","($620,758.14)","($631,819.71)","($645,219.71)","($658,803.40)","($672,571.99)","($686,526.66)","($700,668.54)","($717,195.53)","($733,913.81)","($750,822.25)","($767,919.56)","($785,204.30)","($802,674.84)","($820,329.37)","($838,165.90)","($856,182.24)","($876,510.39)","($896,980.55)","($917,584.89)","($938,315.05)"," $(959,162.17)"
California,"($7,492,937.13)",Negative,"$32,616,237.36 ","($706,793.70)","($713,878.59)","($726,199.79)","($738,707.11)","($751,402.92)","($764,289.63)","($779,938.33)","($795,804.22)","($811,888.83)","($828,193.64)","($844,720.12)","($864,065.25)","($883,637.34)","($903,435.21)","($923,457.49)","($943,702.63)","($964,168.84)","($984,854.17)","($1,005,756.42)","($1,026,873.16)","($1,050,724.93)","($1,074,747.27)","($1,098,931.12)","($1,123,266.88)"," $(1,147,744.27)"
Colorado,"($7,273,743.11)",Negative,"$29,231,872.43 ","($665,664.02)","($672,694.58)","($684,012.84)","($695,499.33)","($707,156.21)","($718,985.64)","($733,046.79)","($747,300.22)","($761,747.30)","($776,389.39)","($791,227.79)","($808,336.50)","($825,643.16)","($843,146.81)","($860,846.31)","($878,740.35)","($896,827.47)","($915,106.00)","($933,574.11)","($952,229.76)","($973,067.99)","($994,053.17)","($1,015,177.58)","($1,036,433.01)"," $(1,057,810.69)"
Connecticut,"($8,163,002.35)",Negative,"$32,902,658.27 ","($781,560.78)","($788,684.12)","($800,407.03)","($812,296.52)","($824,354.63)","($836,583.42)","($851,156.36)","($865,919.68)","($880,874.58)","($896,022.20)","($911,363.67)","($929,085.39)","($947,000.67)","($965,108.14)","($983,406.23)","($1,001,893.21)","($1,020,567.15)","($1,039,425.93)","($1,058,467.21)","($1,077,688.47)","($1,099,183.25)","($1,120,811.51)","($1,142,564.54)","($1,164,433.10)"," $(1,186,407.36)"
Delaware,"$8,700,958.55 ",83%,"$28,410,598.02 ","$1,911,860.54 ","$1,926,041.55 ","$1,907,862.45 ","$1,889,185.65 ","$1,870,004.94 ","$1,850,314.11 ","$1,810,961.09 ","$1,770,819.90 ","$1,729,885.71 ","$1,688,153.90 ","$1,645,620.05 ","$1,582,582.30 ","$1,518,537.00 ","$1,453,488.70 ","$1,387,442.75 ","$1,320,405.43 ","$1,252,383.92 ","$1,183,386.35 ","$1,113,421.85 ","$1,042,500.59 ","$950,383.11 ","$857,292.62 ","$763,265.69 ","$668,341.52 "," $572,562.04 "
District of Columbia,"($6,017,465.35)",Negative,"$31,402,068.40 ","($447,946.38)","($453,676.46)","($466,908.90)","($480,367.22)","($494,054.41)","($507,973.47)","($526,103.19)","($544,513.36)","($563,206.07)","($582,183.40)","($601,447.38)","($625,048.56)","($648,960.09)","($673,180.86)","($697,709.53)","($722,544.53)","($747,683.99)","($773,125.82)","($798,867.62)","($824,906.72)","($855,274.34)","($885,902.73)","($916,781.00)","($947,897.49)"," $(979,239.77)"
Florida,"($43,455.31)",7%,"$27,724,535.10 ","$597,645.28 ","$601,315.26 ","$587,346.96 ","$573,064.98 ","$558,465.43 ","$543,544.44 ","$518,095.80 ","$492,182.83 ","$465,802.72 ","$438,952.77 ","$411,630.38 ","$373,358.00 ","$334,514.05 ","$295,101.34 ","$255,123.22 ","$214,583.51 ","$173,486.57 ","$131,837.31 ","$89,641.21 ","$46,904.34 ","($7,070.42)","($61,573.49)","($116,583.35)","($172,076.93)"," $(228,029.63)"
