State ,NPV (After-Tax),IRR,TCO,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Year 20,Year 21,Year 22,Year 23,Year 24,Year 25
Alabama,"($1,828,326.89)",Negative,"$27,420,839.51 ",235556.7796,235013.5271,220927.4885,206609.8058,192057.7138,177268.4326,154570.9263,131552.2945,108210.8676,84545.06002,60553.3741,28422.05152,-4083.105427,-36959.17621,-70202.87949,-103810.5586,-137778.1666,-172101.251,-206774.938,-241793.9167,-285013.5815,-328538.4382,-372351.2499,-416433.6691,-460766.1964
Alaska,"$4,304,240.08 ",50%,"$32,799,177.64 ",1235026.123,1242670.454,1223590.77,1204101.6,1184197.88,1163874.526,1127541.125,1090585.986,1053005.518,1014796.291,975955.0436,920509.0215,864292.1027,807308.7628,749564.1656,691064.1911,631815.4648,571825.3875,511102.1654,449654.8417,371209.6019,292061.7647,212242.4254,131784.8117,50724.36232
Arizona,"($5,488,546.10)",Negative,"$29,279,664.09 ",-330050.0978,-335905.1821,-349739.2496,-363761.1506,-377973.2549,-392377.954,-411232.7865,-430312.6915,-449619.0469,-469153.1866,-488916.398,-513199.8179,-537719.2678,-562472.8844,-587458.5827,-612674.0475,-638116.7236,-663783.8068,-689672.234,-715778.6731,-746305.9863,-776998.5635,-807845.1355,-838833.7377,-869951.684
Arkansas,"($5,852,436.52)",Negative,"$27,235,977.34 ",-424899.9043,-431358.4017,-443947.35,-456690.2999,-469589.1369,-482645.764,-499029.5243,-515587.5131,-532320.6949,-549229.9988,-566316.3163,-586751.495,-607358.7621,-628136.3659,-649082.3791,-670194.692,-691471.0047,-712908.8201,-734505.4364,-756257.9393,-781219.9603,-806284.0696,-831440.9252,-856680.6375,-881992.7496
California,"($6,722,975.46)",Negative,"$32,616,237.36 ",-549316.562,-556700.5102,-571028.6593,-585539.0262,-600233.9229,-615115.6842,-633748.1453,-652588.3333,-671637.5318,-690896.9868,-710367.9039,-733621.2088,-757082.2885,-780749.3282,-804620.3134,-828693.0213,-852965.0123,-877433.6221,-902095.9523,-926948.8619,-955434.5051,-984050.7854,-1012787.162,-1041632.461,-1070574.855
Colorado,"($6,379,213.83)",Negative,"$29,231,872.43 ",-508186.8833,-515516.5084,-528841.7059,-542331.2446,-555987.2051,-569811.6888,-586856.5985,-604084.3249,-621496.0014,-639092.7289,-656875.5745,-677892.4572,-699088.1127,-720460.9313,-742009.1303,-763730.7476,-785623.634,-807685.4466,-829913.6403,-852305.461,-877777.5602,-903356.6855,-929033.617,-954798.5896,-980641.2729
Connecticut,"($7,360,443.55)",Negative,"$32,902,658.27 ",-624083.6404,-631506.0419,-645235.9005,-659128.4379,-673185.6307,-687409.4735,-704966.1731,-722703.7923,-740623.2788,-758725.5419,-777011.4505,-798641.3468,-820445.6203,-842422.2558,-864569.0503,-886883.6049,-909363.3177,-932005.3755,-954806.746,-977764.1697,-1003892.821,-1030115.025,-1056420.576,-1082798.681,-1109237.94
Delaware,"$9,578,461.64 ",90%,"$28,410,598.02 ",2069337.683,2083219.623,2063033.579,2042353.731,2021173.945,1999488.059,1957151.277,1914035.788,1870137.008,1825450.558,1779972.269,1713026.338,1645092.053,1576174.575,1506279.929,1435415.036,1363587.751,1290806.9,1217082.319,1142424.89,1045673.534,947989.0974,849409.6512,749975.9362,649731.4615
District of Columbia,"($5,220,727.47)",Negative,"$31,402,068.40 ",-290469.2365,-296498.3824,-311737.7684,-327199.1381,-342885.4067,-358799.5173,-379913.0053,-401297.4672,-422954.7733,-444886.7472,-467095.1637,-494604.5209,-522405.0381,-550494.979,-578872.3566,-607534.9238,-636480.1621,-665705.2706,-695207.1553,-724982.417,-759983.9129,-795206.2502,-830637.0342,-866263.0736,-902070.3501
Florida,"$793,301.37 ",19%,"$27,724,535.10 ",755122.4164,758493.3308,742518.0948,726233.062,709634.4343,692718.3946,664285.9847,635398.7173,606054.0169,576249.4237,545982.5994,503802.0424,461069.0943,417787.2235,373960.3995,329593.114,284690.4012,239257.8601,193301.6759,146828.6433,88220.008,29122.98632,-30439.38443,-90442.51541,-150860.2093
