State,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Year 20,Year 21,Year 22,Year 23,Year 24,Year 25
Alabama, $1.52 , $1.53 , $1.57 , $1.60 , $1.64 , $1.68 , $1.72 , $1.78 , $1.83 , $1.88 , $1.94 , $2.02 , $2.10 , $2.18 , $2.27 , $2.36 , $2.46 , $2.57 , $2.68 , $2.81 , $2.96 , $3.14 , $3.32 , $3.53 , $3.76 
Alaska, $1.82 , $1.84 , $1.88 , $1.92 , $1.96 , $2.01 , $2.07 , $2.13 , $2.19 , $2.25 , $2.32 , $2.41 , $2.51 , $2.61 , $2.71 , $2.82 , $2.94 , $3.07 , $3.21 , $3.35 , $3.54 , $3.74 , $3.97 , $4.22 , $4.49 
Arizona, $1.61 , $1.63 , $1.66 , $1.70 , $1.74 , $1.78 , $1.83 , $1.89 , $1.95 , $2.01 , $2.07 , $2.15 , $2.24 , $2.33 , $2.42 , $2.53 , $2.63 , $2.75 , $2.88 , $3.01 , $3.18 , $3.37 , $3.58 , $3.80 , $4.06 
Arkansas, $1.50 , $1.51 , $1.55 , $1.58 , $1.62 , $1.66 , $1.71 , $1.76 , $1.81 , $1.87 , $1.93 , $2.00 , $2.08 , $2.16 , $2.25 , $2.35 , $2.45 , $2.56 , $2.67 , $2.80 , $2.96 , $3.13 , $3.32 , $3.53 , $3.77 
California, $1.80 , $1.82 , $1.86 , $1.90 , $1.94 , $1.99 , $2.05 , $2.11 , $2.17 , $2.24 , $2.31 , $2.40 , $2.49 , $2.59 , $2.70 , $2.81 , $2.93 , $3.06 , $3.20 , $3.34 , $3.53 , $3.74 , $3.97 , $4.22 , $4.50 
Colorado, $1.60 , $1.62 , $1.66 , $1.70 , $1.74 , $1.78 , $1.83 , $1.88 , $1.94 , $2.00 , $2.07 , $2.15 , $2.23 , $2.32 , $2.42 , $2.52 , $2.63 , $2.75 , $2.87 , $3.01 , $3.18 , $3.37 , $3.57 , $3.80 , $4.05 
Connecticut, $1.83 , $1.84 , $1.89 , $1.93 , $1.97 , $2.01 , $2.07 , $2.13 , $2.20 , $2.26 , $2.33 , $2.42 , $2.51 , $2.61 , $2.72 , $2.83 , $2.95 , $3.08 , $3.22 , $3.36 , $3.55 , $3.76 , $3.98 , $4.23 , $4.51 
Delaware, $1.57 , $1.58 , $1.62 , $1.65 , $1.69 , $1.73 , $1.78 , $1.84 , $1.89 , $1.95 , $2.01 , $2.09 , $2.17 , $2.26 , $2.35 , $2.45 , $2.55 , $2.67 , $2.79 , $2.91 , $3.08 , $3.26 , $3.46 , $3.68 , $3.92 
District of Columbia, $1.71 , $1.74 , $1.78 , $1.82 , $1.86 , $1.90 , $1.96 , $2.02 , $2.08 , $2.15 , $2.22 , $2.30 , $2.40 , $2.50 , $2.60 , $2.71 , $2.83 , $2.96 , $3.09 , $3.24 , $3.42 , $3.63 , $3.85 , $4.10 , $4.37 
Florida, $1.53 , $1.55 , $1.58 , $1.62 , $1.65 , $1.69 , $1.74 , $1.79 , $1.85 , $1.90 , $1.96 , $2.04 , $2.12 , $2.20 , $2.29 , $2.39 , $2.49 , $2.60 , $2.72 , $2.84 , $3.00 , $3.18 , $3.37 , $3.58 , $3.82 
Georgia, $1.43 , $1.45 , $1.48 , $1.51 , $1.54 , $1.58 , $1.62 , $1.67 , $1.72 , $1.77 , $1.83 , $1.90 , $1.97 , $2.05 , $2.13 , $2.22 , $2.31 , $2.41 , $2.52 , $2.63 , $2.78 , $2.94 , $3.11 , $3.31 , $3.52 
