State,0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Year 20,Year 21,Year 22,Year 23,Year 24,Year 25
Alabama," $(1,314,457.25)"," $1,097,607.52 "," $1,104,617.27 "," $1,094,041.36 "," $1,083,164.59 "," $1,071,983.21 "," $1,060,493.44 "," $1,037,337.57 "," $1,013,704.63 "," $989,591.63 "," $964,995.76 "," $957,502.60 "," $921,841.63 "," $883,970.47 "," $845,490.68 "," $806,405.38 "," $766,718.22 "," $726,433.39 "," $685,555.68 "," $644,090.44 "," $602,043.68 "," $547,388.29 "," $492,138.50 "," $436,316.06 "," $379,944.33 "," $323,048.27 "
Alaska," $(1,314,457.25)"," $579,249.59 "," $582,460.34 "," $572,666.60 "," $562,625.74 "," $552,334.69 "," $541,790.37 "," $522,481.33 "," $502,794.30 "," $482,726.94 "," $462,277.01 "," $458,826.52 "," $430,433.46 "," $399,985.49 "," $369,065.14 "," $337,675.00 "," $305,818.04 "," $273,497.69 "," $240,717.81 "," $207,482.74 "," $173,797.30 "," $130,686.83 "," $87,126.22 "," $43,132.84 "," $(1,274.75)"," $(46,076.64)"
Arizona," $(1,314,457.25)"," $(404,203.39)"," $(409,656.57)"," $(416,735.85)"," $(423,934.64)"," $(431,254.45)"," $(438,696.84)"," $(447,941.76)"," $(457,331.49)"," $(466,867.07)"," $(476,549.51)"," $(467,683.13)"," $(477,672.46)"," $(489,518.92)"," $(501,522.18)"," $(513,681.50)"," $(525,996.03)"," $(538,464.75)"," $(551,086.53)"," $(563,860.09)"," $(576,784.00)"," $(591,549.23)"," $(606,443.86)"," $(621,462.26)"," $(636,598.46)"," $(651,846.06)"
Arkansas," $(1,314,457.25)"," $(447,411.47)"," $(453,064.96)"," $(459,204.05)"," $(465,439.18)"," $(471,771.55)"," $(478,202.37)"," $(485,723.28)"," $(493,354.79)"," $(501,097.68)"," $(508,952.71)"," $(498,690.58)"," $(506,117.41)"," $(515,316.67)"," $(524,630.55)"," $(534,058.40)"," $(543,599.51)"," $(553,253.05)"," $(563,018.09)"," $(572,893.60)"," $(582,878.41)"," $(593,939.03)"," $(605,087.97)"," $(616,320.92)"," $(627,633.29)"," $(639,020.16)"
California," $(1,314,457.25)"," $(516,801.27)"," $(522,873.72)"," $(529,802.57)"," $(536,839.62)"," $(543,986.27)"," $(551,243.92)"," $(559,743.21)"," $(568,366.94)"," $(577,116.04)"," $(585,991.40)"," $(577,446.42)"," $(586,123.62)"," $(596,525.40)"," $(607,056.01)"," $(617,714.79)"," $(628,501.00)"," $(639,413.77)"," $(650,452.13)"," $(661,614.99)"," $(672,901.14)"," $(685,409.31)"," $(698,016.66)"," $(710,718.43)"," $(723,509.53)"," $(736,384.52)"
Colorado," $(1,314,457.25)"," $(497,829.18)"," $(504,089.07)"," $(510,930.37)"," $(517,879.30)"," $(524,937.23)"," $(532,105.55)"," $(540,432.27)"," $(548,882.09)"," $(557,455.91)"," $(566,154.65)"," $(556,203.74)"," $(564,506.33)"," $(574,643.59)"," $(584,908.20)"," $(595,299.57)"," $(605,817.01)"," $(616,459.75)"," $(627,226.88)"," $(638,117.39)"," $(649,130.17)"," $(661,281.58)"," $(673,532.17)"," $(685,877.40)"," $(698,312.43)"," $(710,832.08)"
Connecticut," $(1,314,457.25)"," $(582,614.91)"," $(588,777.24)"," $(595,517.41)"," $(602,357.32)"," $(609,298.21)"," $(616,341.30)"," $(624,455.06)"," $(632,681.60)"," $(641,021.64)"," $(649,475.92)"," $(640,106.80)"," $(648,134.88)"," $(657,908.18)"," $(667,795.25)"," $(677,795.29)"," $(687,907.42)"," $(698,130.65)"," $(708,463.85)"," $(718,905.81)"," $(729,455.20)"," $(741,033.64)"," $(752,693.47)"," $(764,429.94)"," $(776,237.97)"," $(788,112.16)"
Delaware," $(1,314,457.25)"," $1,097,607.52 "," $1,104,617.27 "," $1,094,041.36 "," $1,083,164.59 "," $1,071,983.21 "," $1,060,493.44 "," $1,037,337.57 "," $1,013,704.63 "," $989,591.63 "," $964,995.76 "," $957,502.60 "," $921,841.63 "," $883,970.47 "," $845,490.68 "," $806,405.38 "," $766,718.22 "," $726,433.39 "," $685,555.68 "," $644,090.44 "," $602,043.68 "," $547,388.29 "," $492,138.50 "," $436,316.06 "," $379,944.33 "," $323,048.27 "
District of Columbia," $(1,314,457.25)"," $(367,780.18)"," $(373,138.86)"," $(380,671.28)"," $(388,336.30)"," $(396,135.68)"," $(404,071.20)"," $(414,098.59)"," $(424,288.60)"," $(434,642.50)"," $(445,161.56)"," $(438,127.42)"," $(449,362.91)"," $(462,388.59)"," $(475,593.08)"," $(488,975.76)"," $(502,535.87)"," $(516,272.50)"," $(530,184.60)"," $(544,270.98)"," $(558,530.26)"," $(574,945.77)"," $(591,514.22)"," $(608,229.72)"," $(625,085.99)"," $(642,076.30)"
Florida," $(1,314,457.25)"," $220,545.67 "," $220,479.84 "," $212,295.84 "," $203,924.63 "," $195,363.93 "," $186,611.40 "," $172,027.52 "," $157,169.67 "," $142,036.16 "," $126,625.33 "," $129,457.32 "," $109,376.90 "," $87,276.66 "," $64,841.94 "," $42,074.59 "," $18,976.70 "," $(4,449.28)"," $(28,200.63)"," $(52,274.25)"," $(76,666.75)"," $(107,300.82)"," $(138,246.98)"," $(169,492.94)"," $(201,025.54)"," $(232,830.71)"
