State,0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Year 20,Year 21,Year 22,Year 23,Year 24,Year 25
Alabama," $(1,314,457.25)"," $1,192,566.24 "," $1,199,395.65 "," $1,187,609.55 "," $1,175,524.95 "," $1,163,138.11 "," $1,150,445.33 "," $1,125,490.26 "," $1,100,063.81 "," $1,074,163.17 "," $1,047,785.64 "," $1,038,516.99 "," $1,000,499.38 "," $960,283.16 "," $919,470.27 "," $878,064.20 "," $836,069.01 "," $793,489.30 "," $750,330.27 "," $706,597.70 "," $662,298.03 "," $604,848.42 "," $546,828.47 "," $488,260.87 "," $429,169.88 "," $369,581.43 "
Alaska," $(1,314,457.25)"," $673,105.97 "," $676,138.48 "," $665,148.60 "," $653,913.92 "," $642,431.42 "," $630,698.05 "," $609,610.68 "," $588,150.97 "," $566,316.71 "," $544,105.82 "," $538,900.44 "," $508,178.11 "," $475,412.30 "," $442,185.93 "," $408,501.96 "," $374,363.76 "," $339,775.17 "," $304,740.46 "," $269,264.37 "," $233,352.18 "," $187,479.92 "," $141,181.33 "," $94,474.64 "," $47,379.37 ", $(83.67)
Arizona," $(1,314,457.25)"," $(312,079.26)"," $(317,707.40)"," $(325,960.74)"," $(334,331.31)"," $(342,820.59)"," $(351,430.07)"," $(362,420.50)"," $(373,550.19)"," $(384,820.06)"," $(396,230.97)"," $(389,087.08)"," $(401,362.70)"," $(415,484.21)"," $(429,750.94)"," $(444,161.76)"," $(458,715.41)"," $(473,410.51)"," $(488,245.51)"," $(503,218.71)"," $(518,328.28)"," $(535,804.33)"," $(553,386.41)"," $(571,068.04)"," $(588,842.32)"," $(606,701.95)"
Arkansas," $(1,314,457.25)"," $(359,224.27)"," $(365,045.24)"," $(372,308.21)"," $(379,665.05)"," $(387,116.91)"," $(394,664.96)"," $(403,856.77)"," $(413,153.89)"," $(422,556.96)"," $(432,066.58)"," $(423,453.34)"," $(433,068.75)"," $(444,445.85)"," $(455,926.45)"," $(467,509.58)"," $(479,194.14)"," $(490,978.91)"," $(502,862.59)"," $(514,843.74)"," $(526,920.81)"," $(540,576.39)"," $(554,297.94)"," $(568,080.30)"," $(581,918.01)"," $(595,805.28)"
California," $(1,314,457.25)"," $(433,480.11)"," $(439,710.80)"," $(447,701.52)"," $(455,798.39)"," $(464,002.76)"," $(472,315.99)"," $(482,393.98)"," $(492,591.41)"," $(502,909.08)"," $(513,347.74)"," $(506,360.66)"," $(517,105.68)"," $(529,565.13)"," $(542,142.91)"," $(554,838.04)"," $(567,649.42)"," $(580,575.82)"," $(593,615.92)"," $(606,768.24)"," $(620,031.20)"," $(634,991.14)"," $(650,029.15)"," $(665,139.66)"," $(680,316.76)"," $(695,554.18)"
Colorado," $(1,314,457.25)"," $(497,829.18)"," $(504,089.07)"," $(510,930.37)"," $(517,879.30)"," $(524,937.23)"," $(532,105.55)"," $(540,432.27)"," $(548,882.09)"," $(557,455.91)"," $(566,154.65)"," $(556,203.74)"," $(564,506.33)"," $(574,643.59)"," $(584,908.20)"," $(595,299.57)"," $(605,817.01)"," $(616,459.75)"," $(627,226.88)"," $(638,117.39)"," $(649,130.17)"," $(661,281.58)"," $(673,532.17)"," $(685,877.40)"," $(698,312.43)"," $(710,832.08)"
Connecticut," $(1,314,457.25)"," $(497,829.18)"," $(504,089.07)"," $(510,930.37)"," $(517,879.30)"," $(524,937.23)"," $(532,105.55)"," $(540,432.27)"," $(548,882.09)"," $(557,455.91)"," $(566,154.65)"," $(556,203.74)"," $(564,506.33)"," $(574,643.59)"," $(584,908.20)"," $(595,299.57)"," $(605,817.01)"," $(616,459.75)"," $(627,226.88)"," $(638,117.39)"," $(649,130.17)"," $(661,281.58)"," $(673,532.17)"," $(685,877.40)"," $(698,312.43)"," $(710,832.08)"
Delaware," $(1,314,457.25)"," $1,192,566.24 "," $1,199,395.65 "," $1,187,609.55 "," $1,175,524.95 "," $1,163,138.11 "," $1,150,445.33 "," $1,125,490.26 "," $1,100,063.81 "," $1,074,163.17 "," $1,047,785.64 "," $1,038,516.99 "," $1,000,499.38 "," $960,283.16 "," $919,470.27 "," $878,064.20 "," $836,069.01 "," $793,489.30 "," $750,330.27 "," $706,597.70 "," $662,298.03 "," $604,848.42 "," $546,828.47 "," $488,260.87 "," $429,169.88 "," $369,581.43 "
District of Columbia," $(1,314,457.25)"," $(281,561.45)"," $(287,083.87)"," $(295,715.09)"," $(304,476.77)"," $(313,370.65)"," $(322,398.46)"," $(334,059.46)"," $(345,877.90)"," $(357,854.92)"," $(369,991.64)"," $(364,569.58)"," $(377,944.80)"," $(393,099.70)"," $(408,422.56)"," $(423,912.41)"," $(439,568.11)"," $(455,388.40)"," $(471,371.85)"," $(487,516.87)"," $(503,821.71)"," $(522,774.26)"," $(541,857.89)"," $(561,065.90)"," $(580,391.15)"," $(599,826.05)"
Florida," $(1,314,457.25)"," $311,095.02 "," $310,857.24 "," $301,519.24 "," $291,996.28 "," $282,286.10 "," $272,386.42 "," $256,086.88 "," $239,518.81 "," $222,680.65 "," $205,570.91 "," $206,709.85 "," $184,382.22 "," $160,045.81 "," $135,386.33 "," $110,405.96 "," $85,107.22 "," $59,492.92 "," $33,566.19 "," $7,330.51 "," $(19,210.28)"," $(52,508.82)"," $(86,096.50)"," $(119,960.16)"," $(154,085.75)"," $(188,458.29)"
