State,0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Year 20,Year 21,Year 22,Year 23,Year 24,Year 25
Alabama," $(1,314,457.25)"," $(216,849.73)"," $887,767.54 "," $1,981,808.90 "," $3,064,973.49 "," $4,136,956.70 "," $5,197,450.14 "," $6,234,787.71 "," $7,248,492.34 "," $8,238,083.97 "," $9,203,079.73 "," $10,160,582.33 "," $11,082,423.96 "," $11,966,394.43 "," $12,811,885.11 "," $13,618,290.49 "," $14,385,008.71 "," $15,111,442.10 "," $15,796,997.78 "," $16,441,088.22 "," $17,043,131.90 "," $17,590,520.19 "," $18,082,658.69 "," $18,518,974.75 "," $18,898,919.07 "," $19,221,967.34 "
Alaska," $(1,314,457.25)"," $(735,207.66)"," $(152,747.32)"," $419,919.28 "," $982,545.02 "," $1,534,879.72 "," $2,076,670.09 "," $2,599,151.42 "," $3,101,945.72 "," $3,584,672.65 "," $4,046,949.66 "," $4,505,776.18 "," $4,936,209.65 "," $5,336,195.13 "," $5,705,260.28 "," $6,042,935.28 "," $6,348,753.32 "," $6,622,251.00 "," $6,862,968.81 "," $7,070,451.55 "," $7,244,248.85 "," $7,374,935.68 "," $7,462,061.90 "," $7,505,194.74 "," $7,503,919.99 "," $7,457,843.35 "
Arizona," $(1,314,457.25)"," $(1,718,660.64)"," $(2,128,317.21)"," $(2,545,053.06)"," $(2,968,987.69)"," $(3,400,242.15)"," $(3,838,938.98)"," $(4,286,880.74)"," $(4,744,212.23)"," $(5,211,079.29)"," $(5,687,628.81)"," $(6,155,311.94)"," $(6,632,984.40)"," $(7,122,503.32)"," $(7,624,025.49)"," $(8,137,707.00)"," $(8,663,703.03)"," $(9,202,167.77)"," $(9,753,254.30)"," $(10,317,114.39)"," $(10,893,898.38)"," $(11,485,447.62)"," $(12,091,891.47)"," $(12,713,353.73)"," $(13,349,952.19)"," $(14,001,798.25)"
Arkansas," $(1,314,457.25)"," $(1,761,868.72)"," $(2,214,933.69)"," $(2,674,137.73)"," $(3,139,576.91)"," $(3,611,348.46)"," $(4,089,550.84)"," $(4,575,274.11)"," $(5,068,628.90)"," $(5,569,726.59)"," $(6,078,679.30)"," $(6,577,369.88)"," $(7,083,487.30)"," $(7,598,803.97)"," $(8,123,434.52)"," $(8,657,492.92)"," $(9,201,092.43)"," $(9,754,345.49)"," $(10,317,363.58)"," $(10,890,257.18)"," $(11,473,135.59)"," $(12,067,074.62)"," $(12,672,162.59)"," $(13,288,483.51)"," $(13,916,116.79)"," $(14,555,136.95)"
California," $(1,314,457.25)"," $(1,831,258.52)"," $(2,354,132.24)"," $(2,883,934.81)"," $(3,420,774.43)"," $(3,964,760.71)"," $(4,516,004.63)"," $(5,075,747.84)"," $(5,644,114.78)"," $(6,221,230.82)"," $(6,807,222.22)"," $(7,384,668.64)"," $(7,970,792.26)"," $(8,567,317.66)"," $(9,174,373.68)"," $(9,792,088.47)"," $(10,420,589.47)"," $(11,060,003.24)"," $(11,710,455.37)"," $(12,372,070.36)"," $(13,044,971.51)"," $(13,730,380.81)"," $(14,428,397.48)"," $(15,139,115.91)"," $(15,862,625.44)"," $(16,599,009.96)"
Colorado," $(1,314,457.25)"," $(1,812,286.44)"," $(2,316,375.51)"," $(2,827,305.88)"," $(3,345,185.18)"," $(3,870,122.41)"," $(4,402,227.96)"," $(4,942,660.23)"," $(5,491,542.32)"," $(6,048,998.23)"," $(6,615,152.88)"," $(7,171,356.63)"," $(7,735,862.95)"," $(8,310,506.55)"," $(8,895,414.75)"," $(9,490,714.32)"," $(10,096,531.33)"," $(10,712,991.08)"," $(11,340,217.96)"," $(11,978,335.35)"," $(12,627,465.52)"," $(13,288,747.10)"," $(13,962,279.27)"," $(14,648,156.67)"," $(15,346,469.10)"," $(16,057,301.18)"
Connecticut," $(1,314,457.25)"," $(1,897,072.16)"," $(2,485,849.40)"," $(3,081,366.81)"," $(3,683,724.13)"," $(4,293,022.33)"," $(4,909,363.63)"," $(5,533,818.70)"," $(6,166,500.29)"," $(6,807,521.93)"," $(7,456,997.85)"," $(8,097,104.65)"," $(8,745,239.53)"," $(9,403,147.71)"," $(10,070,942.96)"," $(10,748,738.25)"," $(11,436,645.68)"," $(12,134,776.32)"," $(12,843,240.17)"," $(13,562,145.99)"," $(14,291,601.19)"," $(15,032,634.82)"," $(15,785,328.30)"," $(16,549,758.24)"," $(17,325,996.20)"," $(18,114,108.36)"
Delaware," $(1,314,457.25)"," $(216,849.73)"," $887,767.54 "," $1,981,808.90 "," $3,064,973.49 "," $4,136,956.70 "," $5,197,450.14 "," $6,234,787.71 "," $7,248,492.34 "," $8,238,083.97 "," $9,203,079.73 "," $10,160,582.33 "," $11,082,423.96 "," $11,966,394.43 "," $12,811,885.11 "," $13,618,290.49 "," $14,385,008.71 "," $15,111,442.10 "," $15,796,997.78 "," $16,441,088.22 "," $17,043,131.90 "," $17,590,520.19 "," $18,082,658.69 "," $18,518,974.75 "," $18,898,919.07 "," $19,221,967.34 "
District of Columbia," $(1,314,457.25)"," $(1,682,237.43)"," $(2,055,376.30)"," $(2,436,047.58)"," $(2,824,383.88)"," $(3,220,519.56)"," $(3,624,590.76)"," $(4,038,689.35)"," $(4,462,977.94)"," $(4,897,620.45)"," $(5,342,782.00)"," $(5,780,909.42)"," $(6,230,272.33)"," $(6,692,660.92)"," $(7,168,254.01)"," $(7,657,229.77)"," $(8,159,765.64)"," $(8,676,038.14)"," $(9,206,222.74)"," $(9,750,493.72)"," $(10,309,023.99)"," $(10,883,969.76)"," $(11,475,483.97)"," $(12,083,713.69)"," $(12,708,799.68)"," $(13,350,875.99)"
Florida," $(1,314,457.25)"," $(1,093,911.58)"," $(873,431.74)"," $(661,135.90)"," $(457,211.27)"," $(261,847.34)"," $(75,235.94)"," $96,791.58 "," $253,961.25 "," $395,997.41 "," $522,622.74 "," $652,080.06 "," $761,456.96 "," $848,733.62 "," $913,575.56 "," $955,650.15 "," $974,626.85 "," $970,177.56 "," $941,976.94 "," $889,702.69 "," $813,035.93 "," $705,735.12 "," $567,488.14 "," $397,995.20 "," $196,969.66 "," $(35,861.05)"
Georgia," $(1,314,457.25)"," $(1,867,325.10)"," $(2,426,127.43)"," $(2,989,987.33)"," $(3,558,968.98)"," $(4,133,137.24)"," $(4,712,557.66)"," $(5,297,479.22)"," $(5,887,967.13)"," $(6,484,086.89)"," $(7,085,904.29)"," $(7,675,036.58)"," $(8,268,492.29)"," $(8,868,007.09)"," $(9,473,638.78)"," $(10,085,444.47)"," $(10,703,480.43)"," $(11,327,802.08)"," $(11,958,463.89)"," $(12,595,519.31)"," $(13,239,020.73)"," $(13,889,128.11)"," $(14,545,870.29)"," $(15,209,272.91)"," $(15,879,358.20)"," $(16,556,144.83)"
Hawaii," $(1,314,457.25)"," $(1,764,847.51)"," $(2,220,102.60)"," $(2,683,341.53)"," $(3,154,697.23)"," $(3,634,304.23)"," $(4,122,298.66)"," $(4,621,284.62)"," $(5,131,430.22)"," $(5,652,904.59)"," $(6,185,877.83)"," $(6,712,261.78)"," $(7,251,343.05)"," $(7,804,967.43)"," $(8,373,319.61)"," $(8,956,582.92)"," $(9,554,939.15)"," $(10,168,568.40)"," $(10,797,648.86)"," $(11,442,356.63)"," $(12,102,865.52)"," $(12,781,850.92)"," $(13,479,460.40)"," $(14,195,833.68)"," $(14,931,102.12)"," $(15,685,388.15)"
