State,0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Year 20,Year 21,Year 22,Year 23,Year 24,Year 25
Alabama," $(1,314,457.25)"," $(121,891.01)"," $1,077,504.63 "," $2,265,114.19 "," $3,440,639.13 "," $4,603,777.25 "," $5,754,222.58 "," $6,879,712.84 "," $7,979,776.64 "," $9,053,939.81 "," $10,101,725.45 "," $11,140,242.45 "," $12,140,741.83 "," $13,101,024.99 "," $14,020,495.26 "," $14,898,559.46 "," $15,734,628.47 "," $16,528,117.77 "," $17,278,448.04 "," $17,985,045.75 "," $18,647,343.78 "," $19,252,192.19 "," $19,799,020.67 "," $20,287,281.54 "," $20,716,451.42 "," $21,086,032.84 "
Alaska," $(1,314,457.25)"," $(641,351.29)"," $34,787.19 "," $699,935.79 "," $1,353,849.71 "," $1,996,281.12 "," $2,626,979.17 "," $3,236,589.85 "," $3,824,740.82 "," $4,391,057.53 "," $4,935,163.35 "," $5,474,063.79 "," $5,982,241.90 "," $6,457,654.20 "," $6,899,840.13 "," $7,308,342.08 "," $7,682,705.85 "," $8,022,481.02 "," $8,327,221.47 "," $8,596,485.85 "," $8,829,838.03 "," $9,017,317.95 "," $9,158,499.28 "," $9,252,973.92 "," $9,300,353.28 "," $9,300,269.61 "
Arizona," $(1,314,457.25)"," $(1,626,536.51)"," $(1,944,243.91)"," $(2,270,204.65)"," $(2,604,535.95)"," $(2,947,356.54)"," $(3,298,786.61)"," $(3,661,207.11)"," $(4,034,757.30)"," $(4,419,577.36)"," $(4,815,808.33)"," $(5,204,895.41)"," $(5,606,258.11)"," $(6,021,742.32)"," $(6,451,493.26)"," $(6,895,655.02)"," $(7,354,370.43)"," $(7,827,780.93)"," $(8,316,026.44)"," $(8,819,245.15)"," $(9,337,573.43)"," $(9,873,377.77)"," $(10,426,764.18)"," $(10,997,832.22)"," $(11,586,674.55)"," $(12,193,376.50)"
Arkansas," $(1,314,457.25)"," $(1,673,681.53)"," $(2,038,726.77)"," $(2,411,034.98)"," $(2,790,700.03)"," $(3,177,816.94)"," $(3,572,481.91)"," $(3,976,338.68)"," $(4,389,492.57)"," $(4,812,049.52)"," $(5,244,116.11)"," $(5,667,569.45)"," $(6,100,638.20)"," $(6,545,084.04)"," $(7,001,010.50)"," $(7,468,520.08)"," $(7,947,714.22)"," $(8,438,693.13)"," $(8,941,555.71)"," $(9,456,399.45)"," $(9,983,320.25)"," $(10,523,896.64)"," $(11,078,194.58)"," $(11,646,274.88)"," $(12,228,192.90)"," $(12,823,998.18)"
California," $(1,314,457.25)"," $(1,747,937.36)"," $(2,187,648.17)"," $(2,635,349.69)"," $(3,091,148.08)"," $(3,555,150.84)"," $(4,027,466.82)"," $(4,509,860.80)"," $(5,002,452.22)"," $(5,505,361.29)"," $(6,018,709.03)"," $(6,525,069.69)"," $(7,042,175.37)"," $(7,571,740.50)"," $(8,113,883.41)"," $(8,668,721.46)"," $(9,236,370.87)"," $(9,816,946.70)"," $(10,410,562.61)"," $(11,017,330.85)"," $(11,637,362.05)"," $(12,272,353.19)"," $(12,922,382.35)"," $(13,587,522.01)"," $(14,267,838.77)"," $(14,963,392.95)"
Colorado," $(1,314,457.25)"," $(1,812,286.44)"," $(2,316,375.51)"," $(2,827,305.88)"," $(3,345,185.18)"," $(3,870,122.41)"," $(4,402,227.96)"," $(4,942,660.23)"," $(5,491,542.32)"," $(6,048,998.23)"," $(6,615,152.88)"," $(7,171,356.63)"," $(7,735,862.95)"," $(8,310,506.55)"," $(8,895,414.75)"," $(9,490,714.32)"," $(10,096,531.33)"," $(10,712,991.08)"," $(11,340,217.96)"," $(11,978,335.35)"," $(12,627,465.52)"," $(13,288,747.10)"," $(13,962,279.27)"," $(14,648,156.67)"," $(15,346,469.10)"," $(16,057,301.18)"
Connecticut," $(1,314,457.25)"," $(1,812,286.44)"," $(2,316,375.51)"," $(2,827,305.88)"," $(3,345,185.18)"," $(3,870,122.41)"," $(4,402,227.96)"," $(4,942,660.23)"," $(5,491,542.32)"," $(6,048,998.23)"," $(6,615,152.88)"," $(7,171,356.63)"," $(7,735,862.95)"," $(8,310,506.55)"," $(8,895,414.75)"," $(9,490,714.32)"," $(10,096,531.33)"," $(10,712,991.08)"," $(11,340,217.96)"," $(11,978,335.35)"," $(12,627,465.52)"," $(13,288,747.10)"," $(13,962,279.27)"," $(14,648,156.67)"," $(15,346,469.10)"," $(16,057,301.18)"
Delaware," $(1,314,457.25)"," $(121,891.01)"," $1,077,504.63 "," $2,265,114.19 "," $3,440,639.13 "," $4,603,777.25 "," $5,754,222.58 "," $6,879,712.84 "," $7,979,776.64 "," $9,053,939.81 "," $10,101,725.45 "," $11,140,242.45 "," $12,140,741.83 "," $13,101,024.99 "," $14,020,495.26 "," $14,898,559.46 "," $15,734,628.47 "," $16,528,117.77 "," $17,278,448.04 "," $17,985,045.75 "," $18,647,343.78 "," $19,252,192.19 "," $19,799,020.67 "," $20,287,281.54 "," $20,716,451.42 "," $21,086,032.84 "
District of Columbia," $(1,314,457.25)"," $(1,596,018.70)"," $(1,883,102.57)"," $(2,178,817.65)"," $(2,483,294.43)"," $(2,796,665.08)"," $(3,119,063.55)"," $(3,453,123.00)"," $(3,799,000.90)"," $(4,156,855.82)"," $(4,526,847.45)"," $(4,891,417.03)"," $(5,269,361.83)"," $(5,662,461.53)"," $(6,070,884.10)"," $(6,494,796.50)"," $(6,934,364.61)"," $(7,389,753.02)"," $(7,861,124.87)"," $(8,348,641.74)"," $(8,852,463.45)"," $(9,375,237.72)"," $(9,917,095.61)"," $(10,478,161.51)"," $(11,058,552.66)"," $(11,658,378.70)"
Florida," $(1,314,457.25)"," $(1,003,362.23)"," $(692,504.99)"," $(390,985.75)"," $(98,989.47)"," $183,296.63 "," $455,683.05 "," $711,769.93 "," $951,288.74 "," $1,173,969.40 "," $1,379,540.31 "," $1,586,250.15 "," $1,770,632.37 "," $1,930,678.18 "," $2,066,064.51 "," $2,176,470.47 "," $2,261,577.70 "," $2,321,070.61 "," $2,354,636.81 "," $2,361,967.32 "," $2,342,757.04 "," $2,290,248.22 "," $2,204,151.72 "," $2,084,191.56 "," $1,930,105.81 "," $1,741,647.51 "
