Line Item,Unit,Input
Location ,Sate,Washington
Area of Site,ft2,10000
Dimensions of the Plant,ft2,1500
Life of Project,yrs,25
Plant Capacitiy ,m3/day,2327
Schedule Maintenance,days,12
Unplanned Maintenance,days,12
Operating Time,hrs/day,24
Personnel ,-,4
Feed Water TDS,ppm,100000
Solar Thermal Energy,kWh/m3,54.2
Electricity Energy ,kWh/m3,4
Plant efficiency,%,0.92
Plant availability due to down time,%,0.934246575
Operating Days per year,days/yr,341
Flow Rate needed to achive target,m3/day,2326.915721
