State,19-Mar,19-Mar
Alabama,0.1268,12.68
Alaska,0.2253,22.53
Arizona,0.1235,12.35
Arkansas,0.0959,9.59
California,0.193,19.3
Colorado,0.121,12.1
Connecticut,0.2251,22.51
Delaware,0.125,12.5
District of Columbia,0.1366,13.66
Florida,0.1184,11.84
Georgia,0.1133,11.33
Hawaii,0.3399,33.99
Idaho,0.0966,9.66
Illinois,0.1281,12.81
Indiana,0.1229,12.29
Iowa,0.1152,11.52
Kansas,0.1284,12.84
Kentucky,0.1029,10.29
Louisiana,0.0929,9.29
Maine,0.1199,11.99
Maryland,0.1344,13.44
Massachusetts,0.2229,22.29
Michigan,0.1522,15.22
Minnesota,0.1291,12.91
Mississippi,0.1151,11.51
Missouri,0.0951,9.51
Montana,0.1078,10.78
Nebraska,0.098,9.8
Nevada,0.1227,12.27
New Hampshire,0.2016,20.16
New Jersey,0.1595,15.95
New Mexico,0.1258,12.58
New York,0.1686,16.86
North Carolina,0.1141,11.41
North Dakota,0.0953,9.53
Ohio,0.1215,12.15
Oklahoma,0.0966,9.66
Oregon,0.1066,10.66
Pennsylvania,0.1363,13.63
Rhode Island,0.2314,23.14
South Carolina,0.1275,12.75
South Dakota,0.1064,10.64
Tennesee,0.1082,10.82
Texas,0.1167,11.67
Utah,0.1017,10.17
Vermont,0.1705,17.05
Virginia,0.117,11.7
Washington,0.0946,9.46
West Virginia,0.1097,10.97
Wisconsin,0.1435,14.35
Wyoming,0.1083,10.83
,,33.99
