State ,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Year 20,Year 21,Year 22,Year 23,Year 24,Year 25
Alabama,7.25,7.395,7.5429,7.693758,7.84763316,8.004585823,8.16467754,8.32797109,8.494530512,8.664421123,8.837709545,9.014463736,9.194753011,9.378648071,9.566221032,9.757545453,9.952696362,10.15175029,10.35478529,10.561881,10.77311862,10.98858099,11.20835261,11.43251967,11.66117006
Alaska,9.89,10.0878,10.289556,10.49534712,10.70525406,10.91935914,11.13774633,11.36050125,11.58771128,11.8194655,12.05585481,12.29697191,12.54291135,12.79376958,13.04964497,13.31063787,13.57685062,13.84838764,14.12535539,14.4078625,14.69601975,14.98994014,15.28973894,15.59553372,15.9074444
Arizona,11,11.22,11.4444,11.673288,11.90675376,12.14488884,12.38778661,12.63554234,12.88825319,13.14601825,13.40893862,13.67711739,13.95065974,14.22967293,14.51426639,14.80455172,15.10064276,15.40265561,15.71070872,16.0249229,16.34542136,16.67232978,17.00577638,17.34589191,17.69280974
Arkansas,9.25,9.435,9.6237,9.816174,10.01249748,10.21274743,10.41700238,10.62534243,10.83784927,11.05460626,11.27569838,11.50121235,11.7312366,11.96586133,12.20517856,12.44928213,12.69826777,12.95223313,13.21127779,13.47550335,13.74501341,14.01991368,14.30031195,14.58631819,14.87804456
California,12,12.24,12.4848,12.734496,12.98918592,13.24896964,13.51394903,13.78422801,14.05991257,14.34111082,14.62793304,14.9204917,15.21890153,15.52327957,15.83374516,16.15042006,16.47342846,16.80289703,17.13895497,17.48173407,17.83136875,18.18799613,18.55175605,18.92279117,19.30124699
Colorado,11.1,11.322,11.54844,11.7794088,12.01499698,12.25529692,12.50040285,12.75041091,13.00541913,13.26552751,13.53083806,13.80145482,14.07748392,14.3590336,14.64621427,14.93913856,15.23792133,15.54267975,15.85353335,16.17060402,16.4940161,16.82389642,17.16037435,17.50358183,17.85365347
Connecticut,10.1,10.302,10.50804,10.7182008,10.93256482,11.15121611,11.37424043,11.60172524,11.83375975,12.07043494,12.31184364,12.55808051,12.80924213,13.06542697,13.32673551,13.59327022,13.86513562,14.14243833,14.4252871,14.71379284,15.0080687,15.30823007,15.61439467,15.92668257,16.24521622
Delaware,9.25,9.435,9.6237,9.816174,10.01249748,10.21274743,10.41700238,10.62534243,10.83784927,11.05460626,11.27569838,11.50121235,11.7312366,11.96586133,12.20517856,12.44928213,12.69826777,12.95223313,13.21127779,13.47550335,13.74501341,14.01991368,14.30031195,14.58631819,14.87804456
District of Columbia,14,14.28,14.5656,14.856912,15.15405024,15.45713124,15.76627387,16.08159935,16.40323133,16.73129596,17.06592188,17.40724032,17.75538512,18.11049283,18.47270268,18.84215674,19.21899987,19.60337987,19.99544747,20.39535642,20.80326354,21.21932881,21.64371539,22.0765897,22.51812149
Florida,8.46,8.6292,8.801784,8.97781968,9.157376074,9.340523595,9.527334067,9.717880748,9.912238363,10.11048313,10.31269279,10.51894665,10.72932558,10.94391209,11.16279034,11.38604614,11.61376707,11.84604241,12.08296325,12.32462252,12.57111497,12.82253727,13.07898801,13.34056778,13.60737913
