State ,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Year 20,Year 21,Year 22,Year 23,Year 24,Year 25
Alabama," $235,556.78 "," $235,013.53 "," $220,927.49 "," $206,609.81 "," $192,057.71 "," $177,268.43 "," $154,570.93 "," $131,552.29 "," $108,210.87 "," $84,545.06 "," $60,553.37 "," $28,422.05 "," $(4,083.11)"," $(36,959.18)"," $(70,202.88)"," $(103,810.56)"," $(137,778.17)"," $(172,101.25)"," $(206,774.94)"," $(241,793.92)"," $(285,013.58)"," $(328,538.44)"," $(372,351.25)"," $(416,433.67)"," $(460,766.20)"
Alaska," $1,235,026.12 "," $1,242,670.45 "," $1,223,590.77 "," $1,204,101.60 "," $1,184,197.88 "," $1,163,874.53 "," $1,127,541.13 "," $1,090,585.99 "," $1,053,005.52 "," $1,014,796.29 "," $975,955.04 "," $920,509.02 "," $864,292.10 "," $807,308.76 "," $749,564.17 "," $691,064.19 "," $631,815.46 "," $571,825.39 "," $511,102.17 "," $449,654.84 "," $371,209.60 "," $292,061.76 "," $212,242.43 "," $131,784.81 "," $50,724.36 "
Arizona," $(330,050.10)"," $(335,905.18)"," $(349,739.25)"," $(363,761.15)"," $(377,973.25)"," $(392,377.95)"," $(411,232.79)"," $(430,312.69)"," $(449,619.05)"," $(469,153.19)"," $(488,916.40)"," $(513,199.82)"," $(537,719.27)"," $(562,472.88)"," $(587,458.58)"," $(612,674.05)"," $(638,116.72)"," $(663,783.81)"," $(689,672.23)"," $(715,778.67)"," $(746,305.99)"," $(776,998.56)"," $(807,845.14)"," $(838,833.74)"," $(869,951.68)"
Arkansas," $(424,899.90)"," $(431,358.40)"," $(443,947.35)"," $(456,690.30)"," $(469,589.14)"," $(482,645.76)"," $(499,029.52)"," $(515,587.51)"," $(532,320.69)"," $(549,230.00)"," $(566,316.32)"," $(586,751.50)"," $(607,358.76)"," $(628,136.37)"," $(649,082.38)"," $(670,194.69)"," $(691,471.00)"," $(712,908.82)"," $(734,505.44)"," $(756,257.94)"," $(781,219.96)"," $(806,284.07)"," $(831,440.93)"," $(856,680.64)"," $(881,992.75)"
California," $(549,316.56)"," $(556,700.51)"," $(571,028.66)"," $(585,539.03)"," $(600,233.92)"," $(615,115.68)"," $(633,748.15)"," $(652,588.33)"," $(671,637.53)"," $(690,896.99)"," $(710,367.90)"," $(733,621.21)"," $(757,082.29)"," $(780,749.33)"," $(804,620.31)"," $(828,693.02)"," $(852,965.01)"," $(877,433.62)"," $(902,095.95)"," $(926,948.86)"," $(955,434.51)"," $(984,050.79)"," $(1,012,787.16)"," $(1,041,632.46)"," $(1,070,574.86)"
Colorado," $(508,186.88)"," $(515,516.51)"," $(528,841.71)"," $(542,331.24)"," $(555,987.21)"," $(569,811.69)"," $(586,856.60)"," $(604,084.32)"," $(621,496.00)"," $(639,092.73)"," $(656,875.57)"," $(677,892.46)"," $(699,088.11)"," $(720,460.93)"," $(742,009.13)"," $(763,730.75)"," $(785,623.63)"," $(807,685.45)"," $(829,913.64)"," $(852,305.46)"," $(877,777.56)"," $(903,356.69)"," $(929,033.62)"," $(954,798.59)"," $(980,641.27)"
Connecticut," $(624,083.64)"," $(631,506.04)"," $(645,235.90)"," $(659,128.44)"," $(673,185.63)"," $(687,409.47)"," $(704,966.17)"," $(722,703.79)"," $(740,623.28)"," $(758,725.54)"," $(777,011.45)"," $(798,641.35)"," $(820,445.62)"," $(842,422.26)"," $(864,569.05)"," $(886,883.60)"," $(909,363.32)"," $(932,005.38)"," $(954,806.75)"," $(977,764.17)"," $(1,003,892.82)"," $(1,030,115.03)"," $(1,056,420.58)"," $(1,082,798.68)"," $(1,109,237.94)"
Delaware," $2,069,337.68 "," $2,083,219.62 "," $2,063,033.58 "," $2,042,353.73 "," $2,021,173.95 "," $1,999,488.06 "," $1,957,151.28 "," $1,914,035.79 "," $1,870,137.01 "," $1,825,450.56 "," $1,779,972.27 "," $1,713,026.34 "," $1,645,092.05 "," $1,576,174.58 "," $1,506,279.93 "," $1,435,415.04 "," $1,363,587.75 "," $1,290,806.90 "," $1,217,082.32 "," $1,142,424.89 "," $1,045,673.53 "," $947,989.10 "," $849,409.65 "," $749,975.94 "," $649,731.46 "
District of Columbia," $(290,469.24)"," $(296,498.38)"," $(311,737.77)"," $(327,199.14)"," $(342,885.41)"," $(358,799.52)"," $(379,913.01)"," $(401,297.47)"," $(422,954.77)"," $(444,886.75)"," $(467,095.16)"," $(494,604.52)"," $(522,405.04)"," $(550,494.98)"," $(578,872.36)"," $(607,534.92)"," $(636,480.16)"," $(665,705.27)"," $(695,207.16)"," $(724,982.42)"," $(759,983.91)"," $(795,206.25)"," $(830,637.03)"," $(866,263.07)"," $(902,070.35)"
Florida," $755,122.42 "," $758,493.33 "," $742,518.09 "," $726,233.06 "," $709,634.43 "," $692,718.39 "," $664,285.98 "," $635,398.72 "," $606,054.02 "," $576,249.42 "," $545,982.60 "," $503,802.04 "," $461,069.09 "," $417,787.22 "," $373,960.40 "," $329,593.11 "," $284,690.40 "," $239,257.86 "," $193,301.68 "," $146,828.64 "," $88,220.01 "," $29,122.99 "," $(30,439.38)"," $(90,442.52)"," $(150,860.21)"
