State ,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Year 20,Year 21,Year 22,Year 23,Year 24,Year 25
Alabama,0.015,0.01515,0.0153015,0.015454515,0.01560906,0.015765151,0.015922802,0.01608203,0.016242851,0.016405279,0.016569332,0.016735025,0.016902375,0.017071399,0.017242113,0.017414534,0.01758868,0.017764566,0.017942212,0.018121634,0.018302851,0.018485879,0.018670738,0.018857445,0.01904602
Alaska,0.015,0.01515,0.0153015,0.015454515,0.01560906,0.015765151,0.015922802,0.01608203,0.016242851,0.016405279,0.016569332,0.016735025,0.016902375,0.017071399,0.017242113,0.017414534,0.01758868,0.017764566,0.017942212,0.018121634,0.018302851,0.018485879,0.018670738,0.018857445,0.01904602
Arizona,0.015,0.01515,0.0153015,0.015454515,0.01560906,0.015765151,0.015922802,0.01608203,0.016242851,0.016405279,0.016569332,0.016735025,0.016902375,0.017071399,0.017242113,0.017414534,0.01758868,0.017764566,0.017942212,0.018121634,0.018302851,0.018485879,0.018670738,0.018857445,0.01904602
Arkansas,0.015,0.01515,0.0153015,0.015454515,0.01560906,0.015765151,0.015922802,0.01608203,0.016242851,0.016405279,0.016569332,0.016735025,0.016902375,0.017071399,0.017242113,0.017414534,0.01758868,0.017764566,0.017942212,0.018121634,0.018302851,0.018485879,0.018670738,0.018857445,0.01904602
California,0.015,0.01515,0.0153015,0.015454515,0.01560906,0.015765151,0.015922802,0.01608203,0.016242851,0.016405279,0.016569332,0.016735025,0.016902375,0.017071399,0.017242113,0.017414534,0.01758868,0.017764566,0.017942212,0.018121634,0.018302851,0.018485879,0.018670738,0.018857445,0.01904602
Colorado,0.015,0.01515,0.0153015,0.015454515,0.01560906,0.015765151,0.015922802,0.01608203,0.016242851,0.016405279,0.016569332,0.016735025,0.016902375,0.017071399,0.017242113,0.017414534,0.01758868,0.017764566,0.017942212,0.018121634,0.018302851,0.018485879,0.018670738,0.018857445,0.01904602
Connecticut,0.015,0.01515,0.0153015,0.015454515,0.01560906,0.015765151,0.015922802,0.01608203,0.016242851,0.016405279,0.016569332,0.016735025,0.016902375,0.017071399,0.017242113,0.017414534,0.01758868,0.017764566,0.017942212,0.018121634,0.018302851,0.018485879,0.018670738,0.018857445,0.01904602
Delaware,0.015,0.01515,0.0153015,0.015454515,0.01560906,0.015765151,0.015922802,0.01608203,0.016242851,0.016405279,0.016569332,0.016735025,0.016902375,0.017071399,0.017242113,0.017414534,0.01758868,0.017764566,0.017942212,0.018121634,0.018302851,0.018485879,0.018670738,0.018857445,0.01904602
District of Columbia,0.015,0.01515,0.0153015,0.015454515,0.01560906,0.015765151,0.015922802,0.01608203,0.016242851,0.016405279,0.016569332,0.016735025,0.016902375,0.017071399,0.017242113,0.017414534,0.01758868,0.017764566,0.017942212,0.018121634,0.018302851,0.018485879,0.018670738,0.018857445,0.01904602
Florida,0.015,0.01515,0.0153015,0.015454515,0.01560906,0.015765151,0.015922802,0.01608203,0.016242851,0.016405279,0.016569332,0.016735025,0.016902375,0.017071399,0.017242113,0.017414534,0.01758868,0.017764566,0.017942212,0.018121634,0.018302851,0.018485879,0.018670738,0.018857445,0.01904602
Georgia,0.015,0.01515,0.0153015,0.015454515,0.01560906,0.015765151,0.015922802,0.01608203,0.016242851,0.016405279,0.016569332,0.016735025,0.016902375,0.017071399,0.017242113,0.017414534,0.01758868,0.017764566,0.017942212,0.018121634,0.018302851,0.018485879,0.018670738,0.018857445,0.01904602
Hawaii,0.015,0.01515,0.0153015,0.015454515,0.01560906,0.015765151,0.015922802,0.01608203,0.016242851,0.016405279,0.016569332,0.016735025,0.016902375,0.017071399,0.017242113,0.017414534,0.01758868,0.017764566,0.017942212,0.018121634,0.018302851,0.018485879,0.018670738,0.018857445,0.01904602
Idaho,0.015,0.01515,0.0153015,0.015454515,0.01560906,0.015765151,0.015922802,0.01608203,0.016242851,0.016405279,0.016569332,0.016735025,0.016902375,0.017071399,0.017242113,0.017414534,0.01758868,0.017764566,0.017942212,0.018121634,0.018302851,0.018485879,0.018670738,0.018857445,0.01904602
