,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Year 20,Year 21,Year 22,Year 23,Year 24,Year 25
Alabama,2.164951579,2.19633439,2.240414321,2.285515064,2.331663528,2.378887434,2.448854635,2.521560089,2.597143845,2.675754998,2.757552402,2.865139925,2.978781787,3.09894313,3.226134973,3.360919761,3.503917718,3.65581413,3.817367724,3.989420332,4.214508162,4.459302399,4.726220219,5.018063799,5.3380964
Alaska,2.763527096,2.804306,2.861316939,2.919656059,2.979358516,3.040460524,3.12980302,3.222617338,3.319079608,3.419377251,3.523709855,3.660396018,3.804693571,3.957181386,4.118494909,4.289332953,4.47046545,4.662742349,4.867103828,5.084592066,5.36824908,5.676411699,6.012051189,6.378607325,6.780080151
Arizona,2.33337404,2.368583046,2.417539467,2.467660987,2.518979052,2.571526071,2.648488774,2.728489337,2.811683443,2.898236816,2.988326019,3.106293581,3.23091611,3.36270401,3.502217887,3.650074605,3.806954209,3.973607872,4.150867021,4.33965387,4.585904204,4.853673231,5.14559091,5.464704585,5.814561187
Arkansas,2.116045152,2.147531452,2.191467071,2.236440976,2.282481037,2.329615974,2.399137626,2.471406266,2.546563033,2.624758199,2.706151893,2.812977358,2.925849687,3.045234501,3.171643392,3.30563949,3.447843825,3.598942638,3.759695779,3.930946401,4.154699137,4.398106511,4.663582335,4.953925148,5.272394274
California,2.713356696,2.754264692,2.811151594,2.869385727,2.92900327,2.990041509,3.078956876,3.171354833,3.267412736,3.367319324,3.471275615,3.607222538,3.750776335,3.902516625,4.063079726,4.233165462,4.413544938,4.605069461,4.808680781,5.025422896,5.307801112,5.614640782,5.948910827,6.314048562,6.714051473
Colorado,2.326382088,2.361532783,2.410392023,2.460415287,2.511634021,2.564080633,2.640884184,2.720721081,2.803746823,2.890126944,2.9800378,3.097760853,3.222127756,3.353648161,3.492881857,3.64044481,3.797016089,3.963345793,4.140264171,4.328692142,4.574462072,4.841714731,5.133076083,5.451588886,5.800794786
Connecticut,2.772886388,2.813878549,2.87116114,2.929779961,2.989770421,3.051168995,3.140901061,3.234121647,3.331007758,3.431747738,3.536542165,3.673806325,3.81871534,3.971850602,4.133850323,4.305416346,4.48732194,4.680420724,4.885656927,5.104077209,5.388912739,5.698354832,6.035386607,6.403461499,6.806595356
Delaware,2.254586456,2.288007246,2.334684203,2.382458844,2.431360495,2.481419376,2.555111778,2.631702017,2.711338468,2.794179087,2.880392159,2.993507058,3.11299618,3.239348776,3.373102274,3.514848106,3.665238356,3.824993403,3.994910696,4.175874881,4.412232054,4.669260789,4.949491585,5.255857191,5.591771946
District of Columbia,2.543048096,2.58236441,2.636704795,2.692357837,2.749359398,2.807746449,2.892561486,2.980735661,3.072441078,3.167860923,3.267190336,3.396863842,3.533849884,3.678707857,3.832052012,3.994558054,4.166970684,4.350112248,4.544892672,4.752320915,5.022318912,5.315835475,5.635733909,5.985330285,6.368482315
Florida,2.184373962,2.216503735,2.261466141,2.307480943,2.354576148,2.40278061,2.473953711,2.547923714,2.624833888,2.704836757,2.788094834,2.89744628,3.01296335,3.135119835,3.264436242,3.401485441,3.54689913,3.701375248,3.865686505,4.04069021,4.26942929,4.518203207,4.789468381,5.086072266,5.411330581
